MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
14.3,7.3,2.4,4.4,54.5,0.3,1,33.3,2.2,2.8,78.6,0.5,1.4,1.9,1.6,0.9,0.3,0.3,0.5,0,0,-2.4
3.5,0.5,0.3,0.5,50,0,0,0,0,0,0,0.3,0.5,0.8,0.3,0.3,0,0.1,0.4,0,0,-1.9
15.5,4.9,1.9,3.7,51.3,0,0,0,1.1,1.3,84,1.5,3,4.4,0.4,0.7,0.2,0.5,2.2,2,0,1.8
25.9,8.4,3,6.9,44,1,2.5,41.1,1.4,1.5,89.2,0.1,1.9,2,1.3,0.7,0.3,0.1,1.7,0,0,-4
27.8,12,4.4,9.9,44.2,1.5,4,37.1,1.8,2.6,69.1,0.3,1.9,2.2,2.8,1.6,0.6,0.1,2.5,0,0,0
33.4,16.3,6.5,14.1,46.3,2,5,39,1.2,1.7,73.1,1.2,4.9,6.1,2.2,1.6,1.2,0.2,2.6,10,0,1.3
11.9,2.8,1.3,2.3,55.6,0.3,1,25,0,0,0,0,0.3,0.3,0,0,0.3,0.3,1.5,0,0,-2.8
3.3,0,0,1,0,0,0.3,0,0,0,0,0,0.7,0.7,0,0.3,0,0,0.3,0,0,-4
19.3,8.1,3,6.9,43,1.1,2.8,38.2,1.1,1.5,75.3,0.3,1.8,2.1,0.8,1,0.5,0.1,1.8,1,0,-2.2
14.4,5.8,2.4,5.1,46.7,0.3,0.8,34.4,0.8,0.9,94.1,0.2,1.3,1.5,3.4,0.9,0.3,0,0.7,0,0,2.2
22.1,6,2.2,4.2,52.8,0,0,0,1.5,2.9,53.4,1.9,5.1,7,0.9,1.2,0.3,1.1,2.5,10,0,-4.3
34,21.6,7.9,15.9,49.3,0.6,1.9,33.6,5.2,6.9,76,1.8,6.3,8.1,4.9,2.3,0.9,0.4,2.6,19,1,7.2
8.4,5.5,2.1,3.8,54.5,0,0,0,1.3,1.7,81,1.3,2.4,3.7,0.3,0.3,0.2,0.3,0.7,5,0,0.9
4.9,2.5,0.9,2.4,38.3,0.6,1.4,40,0.1,0.1,100,0,0.2,0.2,0.6,0.2,0,0,0.2,0,0,-1.4
15.6,6.8,2.9,5.9,48.8,0.5,1.5,33.3,0.6,0.9,66.1,1.2,3.5,4.6,0.5,0.6,0.3,0.2,1.5,5,0,-1.3
25.7,13.7,4.6,10.4,44.5,1.8,4.8,36.7,2.7,3,89.3,0.5,3,3.4,1.4,1.6,0.4,0.1,1.8,0,0,-3.2
17.6,4.6,2,4.5,44.6,0.3,1.1,24.7,0.4,0.5,74.3,0.6,1.5,2.2,2.3,1.2,0.2,0.1,1.1,0,0,0.2
34.9,23.1,8.3,17.2,48.2,2.9,7.2,40.4,3.7,4.4,82.5,0.7,2.4,3.1,3.5,2,1.1,0.3,2.2,1,0,4.3
16,6.8,3,4.8,61.5,0,0,0,0.8,1.3,65.7,1.1,1.7,2.8,0.5,0.4,0.4,0.7,1.5,0,0,1.3
11.1,5.6,2.1,3.6,57.5,0,0.1,33.3,1.5,1.7,87.5,0.8,1.7,2.5,0.4,0.6,0.3,0.2,0.9,0,0,-2.7
28.9,9.4,3.5,8.7,40.2,0.7,2.4,29.4,1.7,2.7,62.1,0.8,3.2,4,2.1,1.5,0.6,0.5,2,0,0,-4.8
22.2,7.1,2.4,6.6,35.9,1,3.1,31.3,1.4,1.9,75,0.4,2.1,2.4,4.9,1.6,0.9,0,1.4,3,0,-0.8
21.1,11,3.9,9.7,39.8,0.8,2.6,32.4,2.4,2.9,85.7,0.5,1.7,2.2,2.4,1.6,0.5,0.1,1.6,0,0,-6.1
21.9,4.2,1.5,4,37.4,0.9,2.4,38.6,0.3,0.4,72.2,0.3,1.8,2.1,1,0.6,0.5,0.5,0.9,0,0,-0.9
10.1,3.5,1.1,3,37.7,0.4,1.1,38.6,0.8,1,84.6,0.1,0.8,1,1.3,0.6,0.2,0,0.4,0,0,-1.4
10.3,3.1,1.3,3,41.7,0.1,0.5,10,0.6,0.8,68.8,0.4,0.9,1.3,1.1,0.4,0.6,0.1,0.8,0,0,-2.5
3.1,1.3,0.7,2.3,28.6,0,0,0,0,0,0,0.3,0.7,1,0.3,0.3,0.7,0.3,0,0,0,2.3
29.6,20.5,7.4,15.6,47.4,1.8,5.2,34.6,3.9,4.9,81,1.6,3.8,5.4,2.3,2.5,0.5,1.7,2.6,2,0,-2.1
4.5,1.6,0.7,1.8,37.5,0.2,0.7,33.3,0,0,0,0.6,0.6,1.1,0.4,0.2,0.2,0.1,0.4,0,0,0.1
7.9,2.6,1,2.8,36.4,0.5,1.5,32.1,0.1,0.2,83.3,0.1,0.6,0.6,0.6,0.3,0,0,0.6,0,0,-1.4
23,10.6,4,9.4,42.6,1.8,4.6,39.1,0.8,0.9,84.2,0.4,2.9,3.3,1.5,1.2,0.5,0.1,1.4,0,0,-2.6
16.3,4.5,1.5,4,38.7,0.5,1.7,30.5,0.9,1.1,86.4,0.3,1.2,1.4,1.8,0.8,0.7,0,1.4,0,0,-3
34.9,23,8.7,18,48,2.3,5.5,42.1,3.4,3.7,91.2,0.8,2.9,3.6,3.6,2.2,0.9,0.5,2.5,1,0,0.8
23.4,10.7,3.7,8.5,43.4,2.2,5.4,41.3,1.1,1.2,90.3,0.4,2.6,3,0.6,0.5,0.6,0.3,2,0,0,0.9
4.9,1,0.4,1.4,25.8,0.1,0.7,20,0.1,0.1,100,0.2,0.4,0.5,0.5,0.3,0.1,0,0.4,0,0,-0.8
14.9,5.2,2.1,6.2,33.2,0.9,2.8,31.4,0.2,0.3,62.5,0.1,1.5,1.5,1.8,0.9,0.5,0.1,1.7,0,0,-2.2
21.7,8.2,3,6.7,45,1,3.2,32.1,1.2,1.6,72,0.4,2.9,3.3,1.9,1,0.9,0.1,1.6,0,0,-1.6
34.3,22.4,8.1,18.8,43.3,2,5.7,35.9,4.1,4.9,83.3,0.8,5.1,5.9,2.9,2.1,0.8,0.5,2.7,7,0,-3
19.8,6.2,2.2,6.5,33.8,0.7,2.7,26.9,1,1.3,81.4,0.2,2.3,2.5,1.6,0.7,0.6,0.1,1.5,0,0,-1.4
18.9,9.1,3.2,7,45.8,1.9,4.5,40.9,0.9,1,85.1,0.5,3.4,3.9,0.6,0.7,0.4,0.5,1.9,2,0,0.8
11.5,5.3,1.5,3.8,40.8,0.6,1.8,34,1.6,1.7,95.3,0.2,1,1.2,1.3,0.7,0.3,0.1,1.5,0,0,-0.4
11.7,5.1,2.1,4.5,47.4,0,0,0,0.9,1.2,71.4,1.4,2.9,4.3,0.2,0.4,0.2,0.4,1,3,0,-3.1
10.3,2.8,1,1.4,71.4,0,0,0,0.8,0.8,100,0.4,1.6,2,0.6,0.8,0.6,0.2,1.2,0,0,-9
9.5,2.3,0.8,1.8,40.9,0,0.3,0,0.8,1.2,71.4,0.8,1.8,2.6,0.4,0.4,0.4,0.6,1.7,0,0,0.7
5,2.3,1,2,50,0.1,0.4,14.3,0.2,0.3,60,0.6,0.6,1.2,0.1,0.2,0.1,0.1,0.4,0,0,3.1
31.5,18.1,6.1,12.9,47.6,2,5,41.1,3.8,4.3,89.2,0.7,4.3,5,9.2,2.4,2,0.1,2.4,24,1,9.5
8.2,2.7,0.9,1.8,52.2,0,0.4,0,0.8,1.2,73.3,1.1,1.2,2.2,0.2,0.5,0.2,0.5,0.8,0,0,1.5
23.9,12.6,5.6,8.7,64.3,0,0,0,1.4,2.7,53.1,2.7,5.4,8.1,1,1.3,0.5,1.2,2.8,15,0,3.3
27.8,10.3,4.1,7.1,57.1,0,0,0,2.1,3.2,67.9,2.2,4.4,6.5,1.6,1,1,0.9,3,6,0,3.4
8.6,1.7,0.7,1.4,52.3,0,0,0,0.2,0.4,68.2,0.8,1.7,2.5,0.4,0.3,0.4,0.4,1.4,1,0,-0.5
15.6,4.5,1.8,4.2,42.2,0.3,1.4,22.9,0.6,0.8,73.5,0.4,1.6,2,1.2,0.7,0.7,0.2,1.6,0,0,0.9
25,9.3,3.7,8.3,45.2,0.6,1.7,35.6,1.2,1.5,77,0.6,2.3,2.9,3.3,1.4,0.8,0.2,1.8,1,0,0.5
31.9,10.8,4.2,9.1,45.6,1.4,3.5,40.1,1.1,1.3,86.7,0.7,2.7,3.4,2.3,0.9,1.1,0.3,1.8,0,0,-3
15.8,4.8,1.9,3.3,57.9,0,0,0,0.9,1.4,64.5,1.9,2.8,4.7,0.6,0.5,0.4,0.3,1.7,3,0,-0.5
28.7,15.6,5.6,13.8,40.5,2.1,6.1,35.2,2.3,3,78.2,0.5,3,3.5,4.8,2.8,1.4,0.3,2.1,2,0,-5.7
19.7,7.9,2.5,6.6,37.7,1.2,3.5,34.7,1.7,2.1,81.4,0.2,1.3,1.5,2.7,1.2,0.4,0,1.3,0,0,-5.7
12,9,3,8,37.5,0,2,0,3,4,75,1,1,2,1,1,0,0,1,0,0,2
8.5,1.9,0.8,1.6,50,0,0,0,0.3,1,30,0.9,1.4,2.3,0,0.6,0.1,0.4,1.5,0,0,-2.8
35.9,27,8.8,19.8,44.4,2.9,7.7,37,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2,11,0,1.1
7,1.8,0.7,2,35.2,0.4,1.4,31.3,0,0,0,0.1,0.4,0.6,0.4,0.2,0.3,0,0.7,0,0,-1.7
3.9,1.3,0.6,1.4,44.4,0,0,0,0,0.1,0,0.3,0.9,1.2,0.2,0.2,0.1,0,0.9,0,0,-1.6
33.9,18.2,5.3,11.9,44.7,2,5.1,38.9,5.5,6.1,90.2,0.6,4.5,5.2,2.1,1.3,0.6,0.2,1.5,4,0,2.5
26.6,7.3,2.6,6.6,39.2,1.7,4.6,37.9,0.4,0.5,84.4,0.5,2.8,3.3,1.8,1.1,1,0.8,1.8,0,0,3.9
25,6.6,2.6,5.4,48.5,1.1,2.7,39.2,0.2,0.4,59.3,0.8,3.3,4.2,0.6,0.4,0.6,0.4,1.5,0,0,-0.8
18.6,6.2,2.3,5.5,42.7,0.7,2.3,29.5,0.9,1.1,79.5,0.5,1.5,2,1.7,1.2,0.3,0.2,2.2,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
26.3,12.8,4.7,11.4,41.1,1.3,4.2,31.1,2.1,2.7,78.2,1.4,5,6.3,2.2,2.3,0.7,0.4,2,10,0,-3.8
15.6,6.4,2.3,5.2,44.2,1.3,2.9,45.3,0.5,0.5,86.4,0.6,2.1,2.7,1,0.9,0.5,0.5,1.9,0,0,-0.6
30.3,13.2,5,10.5,47.6,1.1,2.6,41.7,2.2,2.5,86,0.3,1.9,2.2,4.6,1.7,1,0.1,1.8,4,0,-1.9
9.8,3.3,1.2,3.2,37.3,0.3,1.2,26.1,0.5,0.7,75,0.1,0.8,0.8,0.8,0.7,0.3,0.1,1,0,0,0.3
18.7,7.3,3.1,5.3,59,0,0,0,1,1.4,70.8,1.9,3.7,5.6,1.6,1,0.4,0.5,1.6,7,0,4
19.9,6,2.4,4.1,58,0.1,0.3,20,1.3,2,64.1,0.9,2.3,3.2,0.7,0.6,0.7,0.4,1.8,0,0,0.6
12.6,4.6,2,3.7,53.6,0,0.1,37.5,0.6,0.8,76.8,0.7,2.3,3,2.2,1.1,0.6,0.7,1.5,0,0,1.8
12.1,4.5,1.5,3.5,44,1,2.6,39.9,0.4,0.5,82.4,0.3,1.1,1.5,0.7,0.5,0.3,0.4,1.1,0,0,1.7
31.7,12.7,5.1,7.1,71.4,0,0,0,2.5,5.2,48.2,3.7,10.1,13.8,1.2,1.4,0.6,1.7,2.6,41,0,5.7
12.5,2.5,0.9,2.3,38.7,0.3,0.7,37,0.4,0.6,62.5,0.3,1.4,1.7,0.9,0.7,0.8,0.2,1.3,0,0,0.9
9.8,2.7,1.2,2.6,48,0,0.5,5.6,0.2,0.4,37.5,0.4,1.2,1.6,0.7,0.4,0.2,0.1,0.6,0,0,-1.2
35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,0.9,4.3,5.2,3.9,2.4,1.1,0.2,1.8,5,0,2
34.2,27,9,19.9,45.2,1.8,5,36.1,7.2,9.3,77.2,2.1,8.9,11,4.6,3.7,1.4,1.3,3.9,46,2,-0.3
26.1,8.9,3.1,7.6,40,1.5,4.4,34.1,1.2,1.6,76.1,0.9,2.9,3.8,1,0.8,1.1,0.4,2,2,0,1.6
8.5,3.4,1.3,3.1,43.1,0.2,0.6,39.1,0.6,0.8,70,0.2,0.9,1.1,1.3,1,0.2,0.2,0.8,0,0,0
16.5,5.6,1.8,4.3,42.2,0.4,1.1,33.3,1.6,2,76.4,0.6,1.2,1.8,2.1,0.9,1,0.4,1.1,0,0,3.3
3.4,2,0.6,0.8,75,0.2,0.2,100,0.6,1.2,50,0.4,0.4,0.8,0.6,0,0,0,0,0,0,0.2
31.5,17.9,6.9,15.4,45.1,1.3,3.7,34,2.8,3.2,85.5,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,10,0,-1
17.1,5.1,1.8,5.1,35.4,1.3,3.6,35.1,0.2,0.3,77.8,0.2,2.5,2.6,1.1,0.9,0.5,0.1,1.5,1,0,-0.3
25.9,11,4.1,9.4,43.8,1.3,3.7,36.3,1.4,1.7,82.6,0.2,2.1,2.3,5.6,2.2,0.5,0.1,2.2,3,0,-1.4
23.7,9.5,4.1,8.3,48.7,0.1,0.2,30,1.3,2.2,61.5,1.8,4.3,6.1,1.1,1.2,0.9,0.8,2.1,6,0,1.1
17,5.3,2.1,3.8,56.2,0.1,0.3,27.3,0.9,1.3,70.7,1.2,1.3,2.5,0.4,0.4,0.4,0.4,2,0,0,1
32.5,18,7.2,15.3,47.1,0.2,0.9,21.7,3.5,4,87.4,1,2.8,3.8,4.4,2.3,0.7,0.3,1.3,2,0,-2.6
16.1,6.1,2.2,4.9,44.3,0.6,1.9,30.9,1.2,1.8,65.2,0.4,2.2,2.6,0.6,0.6,0.3,0.1,1.2,0,0,-1.2
35,22.1,7.8,18.3,42.3,1.9,5.2,36.3,4.7,5.7,83.2,0.6,2.6,3.2,3.4,3.1,0.9,0.3,3.1,0,0,-2.9
16.7,6.7,2.1,5.2,39.9,0.9,2.7,32.8,1.6,2,82.9,0.2,1.8,2,2.1,0.9,0.7,0.1,1.6,0,0,0.6
17.5,5.1,2.1,3.4,62.2,0,0,0,0.9,1.2,69.9,1.7,4.8,6.5,0.6,0.8,0.5,0.8,2.4,6,0,2.5
6.6,1.6,0.7,1.3,51.1,0,0,0,0.3,0.5,55.6,0.6,1.1,1.7,0.1,0.2,0.1,0.5,1.1,0,0,-1.2
3.5,1.4,0.4,1.9,23.1,0,0,0,0.6,0.6,100,0.1,0.7,0.9,0,0.3,0,0.1,0.7,0,0,-3.9
30.1,15.8,6.1,14.4,42.4,1.8,4.7,39.5,1.8,2.8,64.6,0.4,2.9,3.3,4.3,2.2,0.9,0.4,2.1,2,0,1.8
26.4,14.2,5.5,12.6,43.7,1.5,3.9,37.8,1.8,2.1,87.5,0.4,6.1,6.5,1.5,0.9,0.6,0.7,2.1,8,0,-0.3
20.1,5.9,2.4,5.9,39.9,0.6,2,32.1,0.5,0.8,65.7,0.6,3,3.6,1,1,0.5,0.4,2.5,2,0,0.2
14.1,4.4,1.7,4.1,41.3,0.3,1.4,23.4,0.7,1.4,51,0.8,2.2,3,0.9,0.9,0.5,0.3,1.6,0,0,-3.5
20.3,4.3,1.5,4.1,37.2,0.7,2.4,29.3,0.6,0.8,75.4,0.7,2.1,2.7,0.8,0.6,0.6,0.3,1.5,0,0,-1.5
22.8,9,3.4,7.5,44.7,1.2,3.2,37,1.1,1.3,84.5,0.3,2.4,2.7,0.9,0.6,0.2,0.1,1.2,1,0,-0.4
13.3,3.4,1.3,3.7,35.4,0.7,2.3,27.7,0.1,0.3,36.4,0.5,1.9,2.4,0.5,0.7,0.2,0.5,1.7,1,0,-0.6
32.5,10.2,3.6,8.6,41.8,1.1,3.5,30.8,2,2.8,70.9,1.3,6.6,7.9,7,2.4,2,1.4,2.9,17,5,10.8
29.7,13.5,5.2,8.3,63.3,0,0,0,3.1,5.7,53.3,4,8.7,12.7,1.4,2.3,0.9,1.2,2.7,53,0,-1.5
17.3,6.7,2.5,4.9,51.5,0.3,1,28.4,1.4,1.8,75.9,1.2,2.8,4,0.6,0.4,0.8,0.5,1.8,2,0,-2.2
29.9,18.3,6.9,15.9,43.4,0.8,2.4,31,3.7,4.7,79.4,1.1,3.5,4.5,3.8,2.3,1.4,0.7,1.9,2,0,-1.2
24.9,9.6,3.9,8.5,45.7,1.1,2.8,37,0.8,1,77,0.5,1.6,2.1,2.2,0.8,0.7,0.4,1.8,0,0,-1.5
17.2,4.3,1.6,3.1,52.8,0,0,0,1.1,1.8,61.7,2.1,3.2,5.3,0.6,0.8,0.3,0.5,3,3,0,-2.8
13.8,4,2,2.5,80,0,0,0,0,1.5,0,2,3.5,5.5,0.5,1,0,3,1.5,0,0,5
29.4,12.8,5.2,11.1,47.1,0.5,1.8,27.4,1.8,2.6,69.2,1.1,3.6,4.7,6.5,2.2,1.1,0.5,2.2,18,5,-1.8
11.6,1.5,0.5,3.5,14.3,0,1,0,0.5,1,50,1.5,1.5,3,0.5,1,0,0,1,0,0,-3
25.6,11,3.8,10,37.7,1,3.2,31.5,2.4,3,78.4,0.5,2.7,3.2,3.9,2.2,0.7,0.2,1.7,1,0,-2.4
21.3,14.3,5.6,10.2,54.5,0.1,0.5,13.2,3.1,4,78.6,2.7,4,6.7,0.9,1.7,0.4,0.5,2.1,18,0,0.8
33,21.1,6.8,15.7,43.4,1.6,4.7,33.5,5.9,6.9,84.7,0.8,4.1,4.8,6.3,3.4,1.4,0.5,2.5,7,1,-2.8
31,16.2,5.5,13.5,40.6,3.3,8.8,37.2,2,2.3,84,0.4,2.3,2.7,2.5,1.6,0.6,0.5,2,0,0,3.9
26.1,13.1,4.7,10.9,43.1,1.7,4.9,35.3,2,2.5,77.8,1.4,4.5,5.9,1.7,1.4,0.7,0.3,2.6,10,0,-0.4
32.8,17.2,6,13.7,43.9,1.9,5.3,35.6,3.3,4.1,80.5,0.6,2.4,3.1,3,2.1,1,0.1,2.6,1,0,-2.9
25.5,9,3.6,8.5,42.6,0.5,1.8,26.3,1.3,1.6,82.5,0.6,3.2,3.8,3.2,1.5,0.8,0.4,1.9,2,0,-2.8
26.1,11.7,4.3,10.7,39.9,1.5,4.7,32.8,1.6,2.1,75.6,0.8,3.7,4.5,2.2,1,0.6,0.5,1.9,4,0,0.6
7.9,2.9,1.1,3,35.1,0.3,0.8,37.9,0.5,0.6,81.8,0.1,1,1.1,0.9,0.4,0.4,0.1,1,0,0,1.8
26.6,7.8,2.8,6.6,42.4,1.3,3.4,37.3,0.9,1.1,78.4,0.5,2.3,2.8,2.6,1.2,1.3,0.4,2.2,0,0,-2.7
31.3,14.9,5.6,11.2,50.2,1.9,4.5,42,1.8,2.4,77.6,0.8,2.3,3.1,2.9,1.3,1.2,0.1,1.6,0,0,1.4
9.2,2,0,3.5,0,0,1,0,2,2,100,0,0.5,0.5,0.5,0,0,0,0.5,0,0,-2.5
16.5,3.3,1.3,3.7,36.4,0.2,1.5,11.1,0.5,0.8,60,0,2,2,2.2,1.7,0.5,0.7,1.5,0,0,-9.7
31.5,16.9,5.9,12.4,47.7,1.9,4.8,40.3,3.2,4,80.1,0.5,2.9,3.4,4.2,1.7,1,0.2,2.3,0,0,5.2
4,0.9,0.4,1.6,25,0,0.5,8.3,0.1,0.1,100,0.1,0.7,0.7,0.2,0.2,0.1,0,0.3,0,0,0.1
16.1,5.6,2.5,4.6,54.9,0,0.1,0,0.5,0.6,85.7,1.1,2.8,3.9,0.9,1.1,0.1,0.8,2,2,0,-1.5
11.4,5.6,2,4.9,40.9,0.8,2.4,35.1,0.7,0.9,80.5,0.3,1.4,1.8,0.7,0.5,0.2,0.1,1,0,0,0.2
23.2,9.2,3.3,7.7,42.3,0.8,2.4,35.3,1.8,2.3,80.6,0.5,2.1,2.6,1.6,0.9,0.6,0.2,1.8,0,0,-4.2
35.6,22.9,8.2,15.7,52.1,0.6,2.3,27.2,5.9,7.7,77,1.8,7,8.8,5.4,2.9,1.6,1.9,3.1,32,3,0.6
20.7,6.1,2.3,4.9,46.7,0.7,1.8,39.2,0.8,1.1,71.1,0.8,2.7,3.6,0.7,0.5,0.6,0.3,0.9,3,0,-1.1
33.7,20.3,7.3,15.4,47.5,1.6,4,40.5,4.1,5.2,79,0.8,3,3.8,5.8,2.9,1.2,0.2,2.7,6,0,0.9
34.5,21.9,7.5,15.8,47.1,2,5.1,39.8,5,5.9,84.4,0.7,4.7,5.4,3.5,1.9,1,0.3,1.6,2,0,4.8
32.4,10,4,8.1,50.2,0.2,0.5,37.2,1.7,2,81.4,2.3,5.6,7.9,1.9,1.3,1.1,1.2,3.1,13,0,0.4
22.5,11.7,4.8,9,53.3,0,0,0,2.2,3,74.1,2.1,4.5,6.6,2.3,1.7,1.1,0.5,2.1,13,0,1.7
12.9,2.3,0.7,2.7,25,0.3,1,33.3,0.7,1,66.7,0,0.7,0.7,1.7,0.3,0.3,0.3,2,0,0,-4.3
35.5,19.2,7.6,16.2,46.8,1,2.8,35.1,3.1,3.6,86.1,1.2,3.8,5,1.5,1.3,0.8,0.2,1.6,1,0,-1.7
32.6,17,7,12.6,55.7,0,0,0,2.9,4.6,62.8,3.8,10.3,14.1,0.7,2,0.7,2.1,2.9,58,0,1.3
7.7,3.2,1.2,3.4,35.9,0.5,1.8,28.6,0.2,0.4,50,0.4,1.7,2.2,0.4,0.7,0.1,0.1,0.3,1,0,-0.2
18.8,5.1,1.9,5,38.5,0.8,2.4,33.7,0.5,0.7,65.5,0.5,2.3,2.8,0.9,0.3,0.5,0.2,1.7,0,0,-1.8
14.8,6.8,2.7,5.6,48.7,0.8,2.1,37.4,0.6,0.8,75.9,0.3,1.3,1.6,1.2,0.7,0.5,0.1,1,0,0,0.5
17.9,5.6,2.1,3.6,58.6,0,0,0,1.4,2.4,57.3,1.5,3.3,4.8,0.6,1.1,1.1,0.8,2.9,0,0,1
25.5,7.5,2.6,6.4,41.1,1.2,3.4,36,0.9,1.2,78.9,0.5,2.4,2.9,1.4,1,0.8,0.4,2,0,0,0.6
15.2,4.6,1.6,4.4,36.4,0.6,2.4,26.6,0.8,0.8,90.9,0.2,1.1,1.3,0.9,0.5,0.6,0,0.9,0,0,-2.3
13,0.8,0.3,1.8,14.3,0,0.5,0,0.3,0.5,50,0.3,0.5,0.8,0.8,0,0.3,0.3,1.5,0,0,-4.8
33.8,28.9,9,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,0.6,2.1,2.7,5.9,2.8,0.9,0.2,2.2,5,0,3.6
